,input_text,base_inference,finetuned_inference,actual_output
14,"['Standup mtg 2024-02-01 9:30\u202fam Sara, Max, Dave 20mins']"," ['Standup mtg 2024-02-01 9:30\u202fSara, Max, Dave 20mins']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Standup mtg 2024-02-01 9:30\u202fSara, Max, Dave 2"," {'action': 'Standup mtg 2024-02-01 9:30 AM', 'date': '02/02/2024', 'time': '20 mins', 'attendees': ['Sara', 'Max', 'Dave'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Standup mtg', 'date': '2024-02-01', 'time': '9:30 AM', 'attendees': ['Sara', 'Max', 'Dave'], 'location': None, 'duration': '20 mins', 'recurrence': None, 'notes': None}]"
15,"['Set up a follow-up on October 12, 2024 at 10:45, let’s keep it brief at 30 minutes.']"," {'action': 'follow-up', 'date': '12/12/2024', 'time': '10:45', 'attendees': None, 'location': 'café', 'duration': '30 minutes', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Set up a follow"," {'action': 'Set up a follow-up', 'date': '12/10/2024', 'time': '10:45 AM', 'attendees': None, 'location': None, 'duration': '30 minutes', 'recurrence': None, 'notes': None}","[{'action': 'Set up a follow-up', 'date': '12/10/2024', 'time': '10:45 AM', 'attendees': None, 'location': None, 'duration': '30 minutes', 'recurrence': None, 'notes': None}]"
16,"['Research review 16/11/2023 at 4pm with Daniel and Emma, 60 minutes.']"," {'action': 'research review', 'date': '16/11/2023', 'time': '4pm', 'attendees': None, 'location': 'café', 'duration': '60 minutes', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Research review 16/11"," {'action': 'Research review', 'date': '16/11/2023', 'time': '4:00 PM', 'attendees': ['Daniel', 'Emma'], 'location': None, 'duration': '60 minutes', 'recurrence': None, 'notes': None}","[{'action': 'Research review', 'date': '16/11/2023', 'time': '4:00 PM', 'attendees': ['Daniel', 'Emma'], 'location': None, 'duration': '60 minutes', 'recurrence': None, 'notes': None}]"
17,['Brainstorming call on 18 - January - 2024 at 5pm for 45 minutes with Abigail and Oliver on Microsoft Teams.']," ['Brainstorming call on 18 - January - 2024 at 5pm for 45 minutes with Abigail and Oliver on Microsoft Teams.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Brainstorming call on 18 - January - 2024 at 5pm for 45 minutes with Abigail and Oliver on Microsoft Teams.']
AI:"," {'action': 'Brainstorming call', 'date': '18/01/2024', 'time': '5:00 PM', 'attendees': ['Abigail', 'Oliver'], 'location': 'Microsoft Teams', 'duration': '45 minutes', 'recurrence': None, 'notes': None}","[{'action': 'Brainstorming call', 'date': '18/01/2024', 'time': '5:00 PM', 'attendees': ['Abigail', 'Oliver'], 'location': 'Microsoft Teams', 'duration': '45 minutes', 'recurrence': None, 'notes': None}]"
18,['Plan product demo 2023-12-12 9am with Chris for 30 mins.']," {'action': 'product demo', 'date': '12/12/2023', 'time': '9am', 'attendees': None, 'location': 'café', 'duration': '30 mins', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Plan product demo 2023"," {'action': 'Plan product demo', 'date': '2023-12-12', 'time': '9:00 AM', 'attendees': ['Chris'], 'location': None, 'duration': '30 mins', 'recurrence': None, 'notes': None}","[{'action': 'Plan product demo', 'date': '2023-12-12', 'time': '9:00 AM', 'attendees': ['Chris'], 'location': None, 'duration': '30 mins', 'recurrence': None, 'notes': None}]"
19,"['Book a lunch meeting with Chloe, Ethan, and Ava on 26th, June 2025 at 12 PM at Le Gourmet Bistro for 1 hour.']"," {'action': 'book a lunch meeting with Chloe, Ethan, and Ava on 26th, June 2025 at 12 PM at Le Gourmet Bistro for 1 hour',
'date': '26/06/2025', 'time': '12:00 PM', 'attendees': None, 'location': 'le gourmet', 'duration': '1 hour', 'recur"," {'action': 'Book a lunch meeting', 'date': '26/06/2025', 'time': '12:00 PM', 'attendees': ['Chloe, Ethan, and Ava'], 'location': 'Le Gourmet Bistro', 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Book a lunch meeting', 'date': '26/06/2025', 'time': '12:00 PM', 'attendees': ['Chloe', 'Ethan', 'Ava'], 'location': 'Le Gourmet Bistro', 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
20,"['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']"," ['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Organize time for a roadmap discussion on May 21, 2027 at 09:35, plan for 90 minutes.']
AI:"," {'action': 'Organize time for a roadmap discussion', 'date': '21/05/2027', 'time': '09:35 AM', 'attendees': None, 'location': None, 'duration': '90 minutes', 'recurrence': None, 'notes': None}","[{'action': 'roadmap discussion', 'date': '21/05/2027', 'time': '09:35 AM', 'attendees': None, 'location': None, 'duration': '90 minutes', 'recurrence': None, 'notes': None}]"
21,"['Review plans w/ Harry, Isla, and Zoe on June 15, 2024, 3pm']"," {'action': 'review plan', 'date': 'June 15, 2024', 'time': '3pm', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Review plans w/ Harry, Isla,"," {'action': 'Review plans', 'date': '15/06/2024', 'time': '3:00 PM', 'attendees': ['Harry', 'Isla', 'Zoe'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Review plans', 'date': '15/06/2024', 'time': '3:00 PM', 'attendees': ['Harry', 'Isla', 'Zoe'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}]"
22,"['IT sync 22/11/2023 at 4pm with Greg and Sam, 60 minutes.']"," {'action': 'sync', 'date': '11/11/2023', 'time': '4pm', 'attendees': None, 'location': 'café', 'duration': '60 minutes', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['IT sync 22/11/"," {'action': 'IT sync', 'date': '22/11/2023', 'time': '4:00 PM', 'attendees': ['Greg', 'Sam'], 'location': None, 'duration': '60 minutes', 'recurrence': None, 'notes': None}","[{'action': 'IT sync', 'date': '22/11/2023', 'time': '4:00 PM', 'attendees': ['Greg', 'Sam'], 'location': None, 'duration': '60 minutes', 'recurrence': None, 'notes': None}]"
23,"['Workshop prep 03/12/2023 at 2pm with Sam and Megan, 2 hours.']"," {'action': 'workshop prep', 'date': '03/12/2023', 'time': '2pm', 'attendees': None, 'location': 'workshop', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Workshop prep 03/12"," {'action': 'Workshop prep', 'date': '03/12/2023', 'time': '2:00 PM', 'attendees': ['Sam', 'Megan'], 'location': None, 'duration': '2 hours', 'recurrence': None, 'notes': None}","[{'action': 'Workshop prep', 'date': '03/12/2023', 'time': '2:00 PM', 'attendees': ['Sam', 'Megan'], 'location': None, 'duration': '2 hours', 'recurrence': None, 'notes': None}]"
24,['1:1 review 2023-11-08 2:00\u202fpm w/ Sara & Ben Microsoft Teams 30m']," {'action': 'review', 'date': '2023-11-08', 'time': '2:00 PM', 'attendees': None, 'location': 'Microsoft Teams', 'duration': '2 hours', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['1:1 review 202"," {'action': '1:1 review', 'date': '08/11/2023', 'time': '2:00 PM', 'attendees': ['Sara', 'Ben'], 'location': 'Microsoft Teams', 'duration': '30m', 'recurrence': None, 'notes': None}","[{'action': '1:1 review', 'date': '2023-11-08', 'time': '2:00 PM', 'attendees': ['Sara', 'Ben'], 'location': 'Microsoft Teams', 'duration': '30m', 'recurrence': None, 'notes': None}]"
25,"['Weekly review 14/11/2023 at 9am with Theo and Rose, 1 hour.']"," {'action': 'review', 'date': '14/11/2023', 'time': '9am', 'attendees': None, 'location': 'café', 'duration': '1 hour', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Weekly review 14/11/"," {'action': 'Weekly review', 'date': '14/11/2023', 'time': '9:00 AM', 'attendees': ['Theo', 'Rose'], 'location': None, 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Weekly review', 'date': '14/11/2023', 'time': '9:00 AM', 'attendees': ['Theo', 'Rose'], 'location': None, 'duration': '1 hour', 'recurrence': 'weekly', 'notes': None}]"
26,['Book holiday planning 2023-11-27 1:15pm with Sarah for 40 minutes.']," {'action': 'book holiday planning', 'date': '11/27/2023', 'time': '1:15pm', 'attendees': None, 'location': 'café', 'duration': '40 minutes', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Book holiday planning "," {'action': 'Book holiday planning', 'date': '2023-11-27', 'time': '1:15 PM', 'attendees': ['Sarah'], 'location': None, 'duration': '40 minutes', 'recurrence': None, 'notes': None}","[{'action': 'Book holiday planning', 'date': '2023-11-27', 'time': '1:15 PM', 'attendees': ['Sarah'], 'location': None, 'duration': '40 minutes', 'recurrence': None, 'notes': None}]"
27,['Discussion with Olivia and Ethan on 08 - January - 2024 at 1:15pm lasting 1 hour over Microsoft Teams.']," ['Discussion with Olivia and Ethan on 08 - January - 2024 at 1:15pm lasting 1 hour over Microsoft Teams.']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Discussion with Olivia and Ethan on 08 - January - 2024 at 1:15pm lasting 1 hour over Microsoft Teams.']
AI: ['Discussion"," {'action': 'Discussion with Olivia and Ethan on 08/01/2024 at 1:15 PM, lasting 1 hour, attendees: None, location: '","[{'action': 'Discussion', 'date': '08/01/2024', 'time': '1:15 PM', 'attendees': ['Olivia', 'Ethan'], 'location': 'Microsoft Teams', 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
28,"['Set up a technical workshop with Olivia, Noah, and Liam on 6th, March 2026 at 3 PM in the IT lab for 3 hours.']"," {'action': 'technical workshop', 'date': '6/03/2026', 'time': '3 PM', 'attendees': None, 'location': 'IT lab', 'duration': '3 hours', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Set up a technical workshop with Olivia, Noah, and"," {'action': 'Set up a technical workshop', 'date': '06/03/2026', 'time': '3:00 PM', 'attendees': ['Olivia', 'Noah', 'Liam'], 'location': 'IT lab', 'duration': '3 hours', 'recurrence': None, 'notes': None}","[{'action': 'Set up a technical workshop', 'date': '06/03/2026', 'time': '3:00 PM', 'attendees': ['Olivia', 'Noah', 'Liam'], 'location': 'IT lab', 'duration': '3 hours', 'recurrence': None, 'notes': None}]"
29,"['Quick feedback 3rd, Apr 2024 9:45 am w/ Sonia Teams 30 mins']"," {'action': 'feedback', 'date': '3rd Apr 2024', 'time': '9:45 am', 'attendees': None, 'location': '30 mins', 'duration': '30 mins', 'recurrence': None, 'notes': None}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Quick feedback 3rd, Apr "," {'action': 'Quick feedback', 'date': '03/04/2024', 'time': '9:45 AM', 'attendees': ['Sonia'], 'location': 'Teams', 'duration': '30 mins', 'recurrence': None, 'notes': None}","[{'action': 'Quick feedback', 'date': '03/04/2024', 'time': '9:45 AM', 'attendees': ['Sonia'], 'location': 'Teams', 'duration': '30 mins', 'recurrence': None, 'notes': None}]"
30,['Check-in 2023-10-22 11:30\u202fam w/ Jake & Emma Google Meet 20m']," ['Check-in 2023-10-22 11:30\u202f Jake & Emma Google Meet 20m']
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Check-in 2023-10-22 11:30\u202f Jake & Emma Google Meet 20m"," {'action': 'Check-in 2023-10-22 11:30 PM', 'date': '20/10/2023', 'time': '11:30 AM', 'attendees': ['Jake', 'Emma'], 'location': 'Google Meet', 'duration': '20m', 'recurrence': None, 'notes': None}","[{'action': 'Check-in', 'date': '2023-10-22', 'time': '11:30 AM', 'attendees': ['Jake', 'Emma'], 'location': 'Google Meet', 'duration': '20m', 'recurrence': None, 'notes': None}]"
31,"['Discuss deliverables June 19, 2024 at 3:35pm with Zoe, Ava, and Gil']"," {'action': 'discuss deliverables', 'date': 'June 19, 2024', 'time': '3:35 pm', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Discuss deliverables June"," {'action': 'Discuss deliverables', 'date': '19/06/2024', 'time': '3:35 PM', 'attendees': ['Zoe', 'Ava', 'Gil'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Discuss deliverables', 'date': '19/06/2024', 'time': '3:35 PM', 'attendees': ['Zoe', 'Ava', 'Gil'], 'location': None, 'duration': None, 'recurrence': None, 'notes': None}]"
32,"['Breakfast meeting with Taylor at Downtown Cafe on April 3, 2024, 9:30 am for 1 hour.']"," {'action': 'breakfast meeting', 'date': 'April 3, 2024', 'time': '9:30 am', 'attendees': None, 'location': 'Downtown Cafe', 'duration': '1 hour', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Breakfast meeting"," {'action': 'Breakfast meeting', 'date': '03/04/2024', 'time': '9:30 AM', 'attendees': ['Taylor'], 'location': 'Downtown Cafe', 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Breakfast meeting', 'date': '03/04/2024', 'time': '9:30 AM', 'attendees': ['Taylor'], 'location': 'Downtown Cafe', 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
33,"['Dinner with Emily at Mario’s Grill on April 8, 2024, 7:00 pm for 2 hours.']"," {'action': 'dinner', 'date': 'April 8, 2024', 'time': '7:00 pm', 'attendees': None, 'location': 'Mario’s Grill', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Dinner with Emily"," {'action': 'Dinner', 'date': '08/04/2024', 'time': '7:00 PM', 'attendees': None, 'location': 'Mario’s Grill', 'duration': '2 hours', 'recurrence': None, 'notes': None}","[{'action': 'Dinner', 'date': '08/04/2024', 'time': '7:00 PM', 'attendees': ['Emily'], 'location': 'Mario’s Grill', 'duration': '2 hours', 'recurrence': None, 'notes': None}]"
34,"['Project discussion 28th Jan, 2024 10:00 Teams 45 mins']"," {'action': 'project discussion', 'date': '28/01/2024', 'time': '10:00', 'attendees': None, 'location': 'café', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Project discussion 28th"," {'action': 'Project discussion', 'date': '28/01/2024', 'time': '10:00 AM', 'attendees': None, 'location': 'Teams', 'duration': '45 mins', 'recurrence': None, 'notes': None}","[{'action': 'Project discussion', 'date': '28/01/2024', 'time': '10:00 AM', 'attendees': None, 'location': 'Teams', 'duration': '45 mins', 'recurrence': None, 'notes': None}]"
35,"['Catch a movie at the local theater on 21st, Nov 2024 at 8:00 pm, which will last 2 hours.']"," {'action': 'movie', 'date': '21/11/2024', 'time': '8:00 pm', 'attendees': None, 'location': 'local theater', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Catch a movie at the local theater"," {'action': 'Catch a movie at the local theater', 'date': '21/11/2024', 'time': '8:00 PM', 'attendees': None, 'location': None, 'duration': '2 hours', 'recurrence': None, 'notes': None}","[{'action': 'Catch a movie', 'date': '21/11/2024', 'time': '8:00 PM', 'attendees': None, 'location': 'local theater', 'duration': '2 hours', 'recurrence': None, 'notes': None}]"
36,"['Dinner with Zoe at The Steakhouse on May 14, 2024, 7:30 pm for 90 mins.']"," {'action': 'dinner', 'date': 'May 14, 2024', 'time': '7:30 pm', 'attendees': None, 'location': 'The Steakhouse', 'duration': '90 mins', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['Dinner with Z"," {'action': 'Dinner', 'date': '14/05/2024', 'time': '7:30 PM', 'attendees': None, 'location': 'The Steakhouse', 'duration': '90 mins', 'recurrence': None, 'notes': None}","[{'action': 'Dinner', 'date': '14/05/2024', 'time': '7:30 PM', 'attendees': ['Zoe'], 'location': 'The Steakhouse', 'duration': '90 mins', 'recurrence': None, 'notes': None}]"
37,['Yoga class 10 - Nov - 2023 6:00\u202fpm online']," {'action': 'Yoga class 10 - Nov - 2023 6:00\u202fpm online', 'date': '15/12/2023', 'time': '6:00 PM', 'attendees': ['Yoga class 10 - Nov - 2023 6:00\u202fpm online'], 'location': 'café', '"," {'action': 'Yoga class 10', 'date': '10/11/2023', 'time': '6:00 PM', 'attendees': None, 'location': 'online', 'duration': None, 'recurrence': None, 'notes': None}","[{'action': 'Yoga class', 'date': '10/11/2023', 'time': '6:00 PM', 'attendees': None, 'location': 'online', 'duration': None, 'recurrence': None, 'notes': None}]"
38,"['2024-03-15 10:30 AM Creative brainstorming with Haley in studio 4, one hour.']"," {'action': 'creative brainstorming', 'date': '2024-03-15', 'time': '10:30 AM', 'attendees': None, 'location': 'studio', 'duration': '2 hours', 'recurrence': None, 'notes': None'}
--------------------------
Please extract the entities for the below user input in JSON format. And do not output anything else.
Human Input: ['2024-0"," {'action': 'Creative brainstorming', 'date': '15/03/2024', 'time': '10:30 AM', 'attendees': None, 'location': 'studio 4', 'duration': '1 hour', 'recurrence': None, 'notes': None}","[{'action': 'Creative brainstorming', 'date': '15/03/2024', 'time': '10:30 AM', 'attendees': ['Haley'], 'location': 'studio 4', 'duration': '1 hour', 'recurrence': None, 'notes': None}]"
